Iteration	minibatch_loss	minibatch_accuracy
0	2.6191864	0.0625
100	0.3575459	0.90625
200	1.2601311	0.90625
300	0.53642654	0.90625
400	0.30127496	0.90625
500	0.8195037	0.84375
600	0.09597085	0.96875
700	0.41815233	0.90625
800	0.31434464	0.90625
900	0.32331106	0.9375
1000	0.36428043	0.90625
1100	0.5040476	0.875
1200	0.51808953	0.9375
1300	0.14345184	1.0
1400	0.10704986	0.96875
1500	0.26367182	0.90625
1600	0.57593644	0.90625
1700	0.18686265	0.9375
1800	0.14464019	0.96875
1900	0.34428298	0.9375
2000	0.14754808	0.9375
2100	0.75476664	0.90625
2200	0.19374089	0.96875
2300	0.1319098	0.96875
2400	0.15401366	0.96875
2500	0.34417227	0.9375
2600	0.11851635	0.96875
2700	0.22984365	0.96875
2800	0.19204475	0.9375
2900	0.046484128	1.0
3000	0.026686352	1.0
3100	0.1624358	0.9375
3200	0.2625622	0.96875
3300	0.05820148	1.0
3400	0.39173713	0.90625
3500	0.08198835	1.0
3600	0.11875354	0.96875
3700	0.14327732	0.96875
3800	0.20016654	0.96875
3900	0.048242237	1.0
4000	0.22968253	0.96875
4100	0.17985457	0.9375
4200	0.13081995	0.96875
4300	0.14534369	0.96875
4400	0.014572789	1.0
4500	0.056054	1.0
4600	0.013301734	1.0
4700	0.049728125	1.0
4800	0.4462484	0.9375
4900	0.4742152	0.9375
5000	0.0088317655	1.0
5100	0.18443778	0.96875
5200	0.015607693	1.0
5300	0.08667742	1.0
5400	0.11003856	0.96875
5500	0.12440984	0.96875
5600	0.0143536255	1.0
5700	0.45983696	0.90625
5800	0.13352442	0.96875
5900	0.19917512	0.9375
6000	0.22528557	0.9375
6100	0.58492213	0.90625
6200	0.12126037	0.96875
6300	0.009669304	1.0
6400	0.0092271585	1.0
6500	0.13489369	0.96875
6600	0.010510389	1.0
6700	0.24395749	0.9375
6800	0.15937491	0.96875
6900	0.047436323	1.0
7000	0.048138693	1.0
7100	0.25715092	0.96875
7200	0.21172252	0.96875
7300	0.070326515	0.96875
7400	0.56468993	0.90625
7500	0.009895862	1.0
7600	0.25429586	0.90625
7700	0.0139266085	1.0
